# SSG Migration Database
# source_lib	source_path	ssg_path	status	module	last_updated	notes	source_sync_commit	last_sync_date
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/ParaContainer.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/QuotedFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/RunContainer.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/RunFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/RunFormatProviderBase.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/SourceCodeRunFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/StrikethroughRunFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/SubscriptRunFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/SuperscriptRunFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/UnderlineRunFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/XmlDocxSorter.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/XmlFormatter.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/package-info.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/Abbreviation.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/AbbreviationBlock.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/AbbreviationExtension.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/AbbreviationVisitor.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/AbbreviationVisitorExt.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/internal/AbbreviationBlockParser.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/internal/AbbreviationFormatOptions.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/internal/AbbreviationNodeFormatter.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/internal/AbbreviationNodePostProcessor.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/internal/AbbreviationNodeRenderer.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/internal/AbbreviationOptions.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/internal/AbbreviationRepository.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/internal/package-info.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/package-info.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/AdmonitionBlock.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/AdmonitionExtension.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/AdmonitionVisitor.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/AdmonitionVisitorExt.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/internal/AdmonitionBlockParser.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/internal/AdmonitionCollectingVisitor.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/internal/AdmonitionNodeFormatter.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/internal/AdmonitionNodeRenderer.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/internal/AdmonitionOptions.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/internal/package-info.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-admonition/src/main/java/com/vladsch/flexmark/ext/admonition/package-info.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/AnchorLink.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/AnchorLinkExtension.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/AnchorLinkVisitor.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/AnchorLinkVisitorExt.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/internal/AnchorLinkNodePostProcessor.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/internal/AnchorLinkNodeRenderer.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/internal/AnchorLinkOptions.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/internal/package-info.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-anchorlink/src/main/java/com/vladsch/flexmark/ext/anchorlink/package-info.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/AsideBlock.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/AsideExtension.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/AsideVisitor.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/AsideVisitorExt.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/internal/AsideBlockParser.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/internal/AsideNodeFormatter.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/internal/AsideNodeRenderer.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/internal/AsideOptions.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/internal/package-info.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/package-info.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/AttributeImplicitName.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/AttributeNode.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/AttributeValueQuotes.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/AttributesDelimiter.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/AttributesExtension.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/AttributesNode.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/AttributesVisitor.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/AttributesVisitorExt.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/FencedCodeAddType.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/AttributeParsing.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/AttributesAttributeProvider.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/AttributesFormatOptions.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/AttributesInlineParserExtension.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/AttributesNodeFormatter.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/AttributesNodePostProcessor.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/AttributesNodeRenderer.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/AttributesOptions.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/NodeAttributeRepository.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/package-info.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/package-info.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-autolink/src/main/java/com/vladsch/flexmark/ext/autolink/AutolinkExtension.java		ported	ssg-md	2026-03-30	Phase 6 - replaced org.nibor.autolink with regex		2026-03-30
flexmark	flexmark-ext-autolink/src/main/java/com/vladsch/flexmark/ext/autolink/internal/AutolinkNodePostProcessor.java		ported	ssg-md	2026-03-30	Phase 6 - replaced org.nibor.autolink with regex		2026-03-30
flexmark	flexmark-ext-autolink/src/main/java/com/vladsch/flexmark/ext/autolink/internal/package-info.java		ported	ssg-md	2026-03-30	Phase 6 - replaced org.nibor.autolink with regex		2026-03-30
flexmark	flexmark-ext-autolink/src/main/java/com/vladsch/flexmark/ext/autolink/package-info.java		ported	ssg-md	2026-03-30	Phase 6 - replaced org.nibor.autolink with regex		2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/DefinitionExtension.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/DefinitionItem.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/DefinitionList.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/DefinitionTerm.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/DefinitionVisitor.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/DefinitionVisitorExt.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/internal/DefinitionFormatOptions.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/internal/DefinitionItemBlockParser.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/internal/DefinitionListBlockPreProcessor.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/internal/DefinitionListItemBlockPreProcessor.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/internal/DefinitionNodeFormatter.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/internal/DefinitionNodeRenderer.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/internal/DefinitionOptions.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/internal/package-info.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/package-info.java		ported	ssg-md	2026-03-31	Phase 7		2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/Emoji.java		ported	ssg-md	2026-03-30	Phase 6		2026-03-30
